PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,Cabin,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Embarked_C,Embarked_Q,Embarked_S,Age_scaled,Fare_scaled,split
1,0,"Braund, Mr. Owen Harris",22.0,1,0,A/5 21171,7.25,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.5348911628688886,-0.5024451714361923,train
2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,1,0,PC 17599,71.2833,C85,True,False,True,False,False,False,False,False,True,False,True,False,False,0.6683917564561223,0.7868452935884461,train
3,1,"Heikkinen, Miss. Laina",26.0,0,0,STON/O2. 3101282,7.925,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,-0.23407043303763592,-0.4888542575852486,train
4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,1,0,113803,53.1,C123,True,False,True,False,False,False,False,False,True,False,False,False,True,0.4427762090826827,0.4207302360686478,train
5,0,"Allen, Mr. William Henry",35.0,0,0,373450,8.05,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,0.4427762090826827,-0.4863374216869257,test
6,0,"Moran, Mr. James",25.0,0,0,330877,8.4583,Missing,False,True,False,False,True,False,False,True,False,False,False,True,False,-0.3092756154954491,-0.47811642890864375,train
7,0,"McCarthy, Mr. Timothy J",54.0,0,0,17463,51.8625,E46,False,True,True,False,False,False,False,True,False,False,False,False,True,1.8716746757811333,0.395813560675251,train
8,0,"Palsson, Master. Gosta Leonard",2.0,3,1,349909,21.075,Missing,False,True,False,False,True,True,False,False,False,False,False,False,True,-2.038994812025152,-0.22408312108167944,train
9,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,0,2,347742,11.1333,Missing,True,False,False,False,True,False,False,False,True,False,False,False,True,-0.15886525057982273,-0.4242561406845337,train
10,1,"Nasser, Mrs. Nicholas (Adele Achem)",14.0,1,0,237736,30.0708,Missing,True,False,False,True,False,False,False,False,True,False,True,False,False,-1.136532622531394,-0.04295550208861426,test
11,1,"Sandstrom, Miss. Marguerite Rut",4.0,1,1,PP 9549,16.7,G6,True,False,False,False,True,False,True,False,False,False,False,False,True,-1.8885844471095259,-0.312172377522981,train
12,1,"Bonnell, Miss. Elizabeth",58.0,0,0,113783,26.55,C103,True,False,True,False,False,False,True,False,False,False,False,False,True,2.172495405612386,-0.11384570873513637,test
13,0,"Saundercock, Mr. William Henry",20.0,0,0,A/5. 2151,8.05,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.685301527784515,-0.4863374216869257,train
14,0,"Andersson, Mr. Anders Johan",39.0,1,5,347082,31.275,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,0.7435969389139355,-0.01870931177853076,train
15,0,"Vestrom, Miss. Hulda Amanda Adolfina",14.0,0,0,350406,7.8542,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,-1.136532622531394,-0.4902797934380587,train
16,1,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,0,0,248706,16.0,Missing,True,False,False,True,False,False,False,False,True,False,False,False,True,1.9468798582389464,-0.3262666585535892,train
17,0,"Rice, Master. Eugene",2.0,4,1,382652,29.125,Missing,False,True,False,False,True,True,False,False,False,False,False,True,False,-2.038994812025152,-0.06199888922968463,test
18,1,"Williams, Mr. Charles Eugene",30.0,0,0,244373,13.0,Missing,False,True,False,True,False,False,False,True,False,False,False,False,True,0.06675029679361683,-0.3866707201133388,test
19,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,1,0,345763,18.0,Missing,True,False,False,False,True,False,False,False,True,False,False,False,True,0.14195547925143,-0.2859972841804228,train
20,1,"Masselmani, Mrs. Fatima",21.5,0,0,2649,7.225,Missing,True,False,False,False,True,False,False,False,True,False,True,False,False,-0.5724937540977952,-0.5029485386158568,train
21,0,"Fynney, Mr. Joseph J",35.0,0,0,239865,26.0,Missing,False,True,False,True,False,False,False,True,False,False,False,False,True,0.4427762090826827,-0.12491978668775715,train
